"",,,,,,,
"",(1),(2),(13),(14),(15),(16),(17)
"",1,cereal,189.58,180.76,209.67,246.58,131.94
"",2,gram,4.33,3.50,4.00,10.89,2.36
"",3,cereal substitutes,0.00,0.18,0.00,12.35,1.34
"",4,pulses and pulse products,47.23,34.90,46.07,46.31,52.66
"",5,milk and milk products,245.87,73.36,120.59,145.95,168.21
"",6,sugar,18.90,16.29,27.41,31.67,31.20
"",7,salt,4.88,2.89,2.84,2.79,2.06
"",8,edible oil,88.24,65.51,58.64,97.13,57.59
"",9,"egg, fish & meat",126.00,74.90,90.76,362.08,31.87
"",10,vegetables,157.87,120.60,115.93,146.55,112.59
"",11,fruits (fresh),50.76,26.48,70.21,159.03,39.70
"",12,fruits (dry),15.02,3.61,21.62,18.93,11.97
"",13,spices,74.20,51.56,71.68,97.72,60.58
"",14,"beverages, refreshments, etc.",168.58,109.20,176.78,287.62,112.89
"",15,food: total (1-14),1191.45,763.73,1016.19,1665.62,816.94
"",16,"pan, tobacco & intoxicants",33.75,31.57,62.33,69.13,44.18
"",17,fuel and light,179.33,125.19,145.50,217.25,165.79
"",18,clothing & bedding,149.70,105.04,132.99,192.72,110.31
"",19,footwear,41.22,16.50,21.15,35.83,23.78
"",20,education,98.26,44.38,56.19,179.35,52.60
"",21,medical (institutional),13.94,9.84,24.56,136.09,12.16
"",22,medical (non-institutional),38.19,30.82,34.58,166.08,40.22
"",23,entertainment,30.40,15.48,36.34,60.41,13.27
"",24,minor durable-type goods,6.95,7.50,5.64,15.85,4.93
"",25,toilet articles,27.05,27.11,40.01,60.80,34.61
"",26,other household consumables,30.02,29.07,39.47,57.99,29.16
"",27,consum. services excl. conveyance,99.54,52.68,81.55,183.76,66.02
"",28,conveyance,120.21,48.87,101.34,328.95,79.25
"",29,rent,1.20,1.26,9.84,34.68,11.93
"",30,taxes & cesses,10.45,1.23,19.82,24.33,3.87
"",31,durable goods,116.82,51.09,63.13,297.76,132.16
"",32,non-food: total (16-31),997.03,597.63,874.46,2060.98,824.22
"",33,total expenditure (15+32),2188.48,1361.36,1890.65,3726.60,1641.17
"",34,"cooked meals recd. free inworkpl.*",2.37,0.73,1.64,14.74,0.52
"",35,cooked meals recd. as assistance *,13.63,19.56,39.07,22.32,14.46
"",36,clothing & footwear (2nd hand) **,5.58,0.07,0.05,0.05,0.37
"",37,"@books, journals, etc. (2nd hand)",1.19,0.19,0.21,0.43,0.31
"",38,"$durables (2ndhand)",1.78,0.64,0.30,13.74,0.76
39,imputed rent,42.26,20.23,235.43,358.75,27.86,
