"(1)",(2),(33),(34),(35),(36),(37)
1,cereal,204.27,280.90,128.15,172.48,140.94
2,gram,2.26,18.11,3.74,2.76,14.43
3,cereal substitutes,0.53,0.00,0.00,0.77,0.53
4,pulses and pulse products,80.57,89.84,70.53,50.24,55.90
5,milk and milk products,138.64,453.52,37.56,303.08,40.10
6,sugar,32.85,45.95,7.24,25.85,71.88
7,salt,4.55,3.95,2.06,2.43,2.56
8,edible oil,116.09,87.38,63.57,84.20,140.90
9,"egg, fish & meat",375.56,61.28,76.35,229.54,486.04
10,vegetables,352.51,214.74,113.20,131.24,168.13
11,fruits (fresh),137.90,80.02,44.64,40.22,209.94
12,fruits (dry),17.32,26.61,0.01,23.50,14.16
13,spices,98.47,89.78,67.57,69.65,127.74
14,"beverages, refreshments, etc.",356.88,359.12,265.46,295.28,277.80
15,food: total (1-14),1918.42,1811.19,880.08,1431.25,1751.05
16,"pan, tobacco & intoxicants",158.89,39.85,119.27,91.14,31.95
17,fuel and light,220.58,294.26,97.88,162.67,249.61
18,clothing & bedding,216.28,197.11,118.61,167.88,200.92
19,footwear,46.59,36.81,38.02,37.13,34.34
20,education,61.30,129.30,17.33,32.85,19.83
21,medical (institutional),11.17,8.52,2.27,0.15,14.97
22,medical (non-institutional),19.37,51.64,17.12,24.70,87.81
23,entertainment,69.21,65.61,33.30,42.03,32.44
24,minor durable-type goods,16.65,11.66,8.25,9.96,4.86
25,toilet articles,101.47,74.35,56.72,59.00,68.33
26,other household consumables,75.30,60.51,27.03,38.49,36.23
27,consum. services excl. conveyance,151.43,206.69,79.84,115.70,120.13
28,conveyance,253.05,243.72,130.29,180.09,205.86
29,rent,113.71,454.60,35.66,43.26,24.41
30,taxes & cesses,2.98,34.27,0.80,19.33,1.80
31,durable goods,132.18,87.99,64.13,254.04,167.32
32,non-food: total (16-31),1650.15,1996.88,846.53,1278.41,1300.81
33,total expenditure (15+32),3568.56,3808.08,1726.61,2709.66,3051.86
34,"cooked meals recd. free inworkpl.*",12.30,1.88,11.91,63.34,0.56
35,cooked meals recd. as assistance *,48.92,19.58,26.67,7.23,27.21
36,clothing & footwear (2nd hand) **,0.00,1.10,0.00,0.92,0.00
37,"@books, journals, etc. (2nd hand)",0.30,0.81,0.00,0.26,0.00
38,"$durables (2ndhand)",0.00,3.90,0.00,2.69,2.10
39,imputed rent,54.11,544.61,269.18,256.91,156.03
