"",(1),(2),(3),(4),(5),(6),(7)
"",1,cereal,219.85,281.55,182.82,193.86,125.62
"",2,gram,2.24,1.14,0.96,3.88,1.43
"",3,cereal substitutes,0.27,3.57,0.02,0.02,0.00
"",4,pulses and pulse products,62.24,34.31,40.96,41.27,38.26
"",5,milk and milk products,180.25,56.02,53.00,136.61,27.82
"",6,sugar,19.06,20.10,16.75,16.77,17.94
"",7,salt,3.53,4.52,3.07,3.25,2.69
"",8,edible oil,73.05,55.47,70.42,60.21,51.29
"",9,"egg, fish & meat",167.78,323.99,192.26,60.04,56.33
"",10,vegetables,153.13,211.32,142.15,111.16,144.88
"",11,fruits (fresh),79.72,60.04,35.59,25.55,25.77
"",12,fruits (dry),25.66,7.50,3.94,4.09,3.04
"",13,spices,81.12,55.36,44.78,45.82,52.58
"",14,"beverages, refreshments, etc.",189.74,175.89,122.78,98.86,131.70
"",15,food: total (1-14),1257.63,1290.79,909.50,801.39,679.36
"",16,"pan, tobacco & intoxicants",80.43,122.49,57.58,17.64,57.45
"",17,fuel and light,164.81,264.92,149.42,134.96,140.94
"",18,clothing & bedding,135.62,121.11,101.83,117.11,117.20
"",19,footwear,19.81,28.82,17.83,14.73,16.15
"",20,education,97.05,44.38,38.33,46.68,30.70
"",21,medical (institutional),39.82,11.15,5.23,9.59,10.69
"",22,medical (non-institutional),93.28,31.16,21.39,32.27,24.25
"",23,entertainment,44.82,38.42,30.29,13.96,15.47
"",24,minor durable-type goods,4.99,26.35,8.21,6.23,6.68
"",25,toilet articles,57.94,48.09,29.43,25.89,39.50
"",26,other household consumables,54.56,38.27,21.48,23.81,32.92
"",27,consum. services excl. conveyance,98.79,87.50,55.42,57.78,58.40
"",28,conveyance,130.77,71.98,54.90,34.55,65.73
"",29,rent,24.72,19.92,3.48,0.42,6.53
"",30,taxes & cesses,9.67,4.03,1.78,0.20,2.83
"",31,durable goods,71.79,98.04,48.45,50.73,72.97
"",32,non-food: total (16-31),1128.86,1056.64,645.05,586.55,698.40
"",33,total expenditure (15+32),2386.49,2347.43,1554.55,1387.93,1377.76
"",34,"cooked meals recd. free inworkpl.*",3.90,9.50,1.50,1.47,2.25
"",35,cooked meals recd. as assistance *,24.93,3.59,20.86,30.45,54.85
"",36,clothing & footwear (2nd hand) **,0.02,4.91,0.23,0.05,0.09
"",37,"@books, journals, etc. (2nd hand)",0.19,0.26,0.46,0.34,0.26
"",38,"$durables (2ndhand)",0.31,8.00,0.61,0.35,0.98
39,imputed rent,153.05,12.99,20.12,8.08,27.55,
