"(1)",(2),(23),(24),(25),(26),(27)
1,cereal,171.88,155.41,159.76,197.11,202.75
2,gram,0.60,9.29,0.94,2.04,6.11
3,cereal substitutes,0.03,0.04,0.21,0.07,0.10
4,pulses and pulse products,37.44,51.57,30.00,41.79,61.96
5,milk and milk products,37.06,521.45,377.51,183.88,137.34
6,sugar,15.48,60.42,38.57,18.62,17.84
7,salt,3.15,3.19,2.97,3.54,3.10
8,edible oil,44.19,60.54,52.32,94.62,60.60
9,"egg, fish & meat",92.03,33.87,17.25,178.79,173.44
10,vegetables,132.44,166.73,112.86,206.21,154.85
11,fruits (fresh),30.36,67.33,36.62,32.05,84.86
12,fruits (dry),0.98,15.81,10.93,12.72,9.37
13,spices,46.84,57.05,67.81,73.46,87.18
14,"beverages, refreshments, etc.",113.69,239.57,126.71,208.69,203.55
15,food: total (1-14),726.15,1442.27,1034.46,1253.59,1203.04
16,"pan, tobacco & intoxicants",32.81,58.77,55.90,105.81,67.56
17,fuel and light,142.81,331.09,208.37,168.93,158.26
18,clothing & bedding,90.47,211.90,146.11,198.37,122.41
19,footwear,12.10,41.95,28.67,44.61,18.19
20,education,40.80,160.54,94.67,63.51,107.03
21,medical (institutional),18.68,49.16,21.33,15.13,42.80
22,medical (non-institutional),45.67,87.60,51.10,18.16,48.33
23,entertainment,20.34,48.13,14.66,67.81,36.11
24,minor durable-type goods,6.52,5.42,3.94,14.00,6.05
25,toilet articles,30.34,53.28,39.44,42.73,54.36
26,other household consumables,23.54,55.10,37.89,31.92,53.95
27,consum. services excl. conveyance,45.59,143.36,100.09,98.23,99.42
28,conveyance,44.13,209.39,115.95,83.81,179.85
29,rent,6.16,13.60,3.17,50.98,19.06
30,taxes & cesses,0.56,16.80,6.42,2.15,11.85
31,durable goods,52.25,177.67,90.59,98.12,97.78
32,non-food: total (16-31),612.78,1663.75,1018.28,1104.27,1123.00
33,total expenditure (15+32),1338.93,3106.02,2052.75,2357.86,2326.04
34,cooked meals recd. free in workpl.*,2.84,4.36,0.76,13.29,5.61
35,cooked meals recd. as assistance *,21.35,12.60,23.04,25.01,16.49
36,clothing & footwear (2nd hand) **,0.03,0.59,0.23,0.78,0.03
37,"@books, journals, etc. (2nd hand)",0.30,1.08,0.51,0.23,0.34
38,"$durables (2ndhand)",2.04,6.16,2.73,0.00,0.98
39,imputed rent,30.71,156.04,104.94,0.00,182.56
