"(1)",(2),(33),(34),(35),(36),(37)
1,cereal,255.57,307.37,241.23,286.63,151.93
2,gram,2.07,11.19,4.47,2.90,18.15
3,cereal substitutes,0.21,0.00,0.00,0.00,4.04
4,pulses and pulse products,84.30,85.18,87.47,68.73,71.04
5,milk and milk products,191.71,660.66,232.08,337.17,39.26
6,sugar,34.89,43.14,28.56,32.06,34.63
7,salt,4.70,4.49,3.06,2.83,4.45
8,edible oil,150.67,121.70,100.19,92.03,85.57
9,"egg, fish & meat",319.87,132.49,29.06,111.23,470.79
10,vegetables,346.87,262.18,177.61,176.43,147.09
11,fruits (fresh),204.35,194.63,103.49,76.01,123.97
12,fruits (dry),57.56,142.01,35.73,36.92,23.60
13,spices,142.55,104.31,101.30,77.66,99.19
14,"beverages, refreshments, etc.",488.39,778.20,365.25,466.76,390.47
15,food: total (1-14),2283.72,2847.55,1509.49,1767.36,1664.17
16,"pan, tobacco & intoxicants",129.56,55.64,52.43,81.85,130.17
17,fuel and light,302.39,604.70,189.40,181.72,210.20
18,clothing & bedding,253.71,345.38,201.19,223.93,291.75
19,footwear,49.79,79.44,57.65,49.62,49.42
20,education,161.00,623.01,288.48,185.75,36.17
21,medical (institutional),37.36,47.12,49.84,2.88,64.92
22,medical (non-institutional),80.25,147.02,46.23,55.40,25.05
23,entertainment,119.01,139.16,54.50,82.49,53.50
24,minor durable-type goods,35.92,10.69,13.09,38.04,24.38
25,toilet articles,143.58,139.88,95.27,94.35,63.28
26,other household consumables,100.17,107.97,56.36,56.95,44.48
27,consum. services excl. conveyance,225.94,546.78,140.09,184.97,126.85
28,conveyance,492.74,738.81,255.69,219.86,208.81
29,rent,617.11,774.64,325.58,561.98,111.70
30,taxes & cesses,16.62,61.65,8.28,26.98,2.82
31,durable goods,268.67,228.78,158.96,217.94,153.87
32,non-food: total (16-31),3033.84,4650.68,1993.04,2264.73,1597.39
33,total expenditure (15+32),5317.56,7498.23,3502.54,4032.09,3261.56
34,"cooked meals recd. free inworkpl.*",16.72,1.01,7.48,0.79,9.45
35,cooked meals recd. as assistance *,33.30,3.30,10.56,2.84,45.18
36,clothing & footwear (2nd hand) **,0.00,0.25,0.00,0.00,0.00
37,"@books, journals, etc. (2nd hand)",0.89,0.61,0.00,0.00,0.00
38,"$durables (2ndhand)",0.03,1.38,0.00,13.29,0.62
39,imputed rent,498.49,1235.04,384.37,437.87,707.20
