"",(1),(2),(3),(4),(5),(6),(7),(8)
"",1,cereal,146.50,157.45,177.16,193.33,211.88,220.38
"",2,gram,2.04,2.37,2.99,3.22,3.66,4.36
"",3,cereal substitutes,0.28,0.40,0.64,1.13,1.11,1.18
"",4,pulses and pulse products,38.48,45.20,47.41,51.18,56.86,58.81
"",5,milk and milk products,86.81,121.23,159.87,191.61,226.06,265.30
"",6,sugar,20.01,23.79,26.53,27.05,29.50,31.26
"",7,salt,2.55,2.82,3.01,3.15,3.37,3.39
"",8,edible oil,50.37,58.58,64.58,70.88,79.70,79.33
"",9,"egg, fish & meat",43.75,75.83,90.18,116.59,134.76,137.77
"",10,vegetables,98.64,115.55,133.33,145.96,159.14,169.19
"",11,fruits (fresh),16.16,28.87,43.36,60.26,72.64,88.79
"",12,fruits (dry),3.66,7.04,12.29,16.27,18.56,26.04
"",13,spices,45.03,54.65,61.02,69.45,74.64,76.51
"",14,"beverages, refreshments, etc.",81.24,110.01,136.13,165.18,191.87,221.76
"",15,food: total (1-14),635.51,803.78,958.52,1115.26,1263.73,1384.06
"",16,"pan, tobacco & intoxicants",22.83,30.50,33.95,43.00,53.44,52.64
"",17,fuel and light,126.85,160.83,180.58,201.39,219.07,239.99
"",18,clothing & bedding,81.70,103.64,121.70,139.95,154.39,179.99
"",19,footwear,13.94,17.74,21.75,24.74,27.76,32.10
"",20,education,36.34,53.03,85.00,109.10,133.51,183.82
"",21,medical (institutional),7.71,8.74,14.90,21.29,27.83,33.18
"",22,medical (non-institutional),21.91,32.29,41.34,49.30,59.80,74.62
"",23,entertainment,13.30,20.97,29.72,38.22,45.12,54.82
"",24,minor durable-type goods,2.58,3.24,4.47,6.54,8.01,9.40
"",25,toilet articles,27.14,33.38,40.24,48.24,55.14,59.24
"",26,other household consumables,20.11,26.68,32.34,41.62,46.59,54.27
"",27,consum. services excl. conveyance,44.25,59.11,72.84,91.38,102.76,125.75
"",28,conveyance,31.06,48.34,78.36,110.21,139.01,187.27
"",29,rent,13.53,18.24,37.68,64.72,105.68,127.54
"",30,taxes & cesses,7.15,9.88,13.86,17.38,19.53,22.26
"",31,durable goods,20.43,33.89,49.25,63.41,84.23,111.17
"",32,non-food: total (16-31),490.84,660.51,857.98,1070.49,1281.88,1548.06
"",33,total expenditure (15+32),1126.36,1464.29,1816.49,2185.76,2545.62,2932.12
"",34,cooked meals recd. free in workpl.*,1.26,0.77,1.51,2.24,2.20,3.41
"",35,cooked meals recd. as assistance *,18.00,23.65,21.29,14.98,16.04,11.41
"",36,clothing & footwear (2nd hand) **,0.67,0.67,0.69,0.51,0.40,0.28
"",37,"@books, journals, etc. (2nd hand)",0.27,0.57,0.47,0.73,0.65,0.70
"",38,"$durables (2ndhand)",0.51,0.63,0.78,0.86,2.23,1.26
39,imputed rent,264.08,311.21,373.49,445.31,467.20,566.78,
