"",(1),(2),(3),(4),(5),(6),(7)
"",1,cereal,259.17,303.73,289.34,247.94,217.26
"",2,gram,2.55,2.53,2.87,6.46,2.39
"",3,cereal substitutes,0.26,3.38,0.05,0.01,0.05
"",4,pulses and pulse products,65.30,60.60,58.72,48.05,58.87
"",5,milk and milk products,228.04,132.05,125.33,219.43,114.18
"",6,sugar,20.63,25.58,22.85,20.69,27.76
"",7,salt,3.54,4.65,4.20,3.48,4.00
"",8,edible oil,74.27,98.11,97.18,75.41,68.86
"",9,"egg, fish & meat",176.76,391.07,307.84,104.55,88.74
"",10,vegetables,163.70,306.73,210.51,141.66,213.19
"",11,fruits (fresh),120.75,132.95,94.55,64.57,87.25
"",12,fruits (dry),43.65,31.99,27.27,28.94,20.65
"",13,spices,80.49,93.80,64.49,58.66,73.69
"",14,"beverages, refreshments, etc.",335.40,356.02,300.89,187.84,222.45
"",15,food: total (1-14),1574.52,1943.18,1606.09,1207.70,1199.34
"",16,"pan, tobacco & intoxicants",79.26,216.82,89.13,19.92,76.67
"",17,fuel and light,216.29,292.55,247.78,188.01,251.83
"",18,clothing & bedding,190.01,164.91,181.12,178.53,208.50
"",19,footwear,29.21,42.20,34.52,26.14,32.44
"",20,education,260.07,148.68,213.36,175.06,172.23
"",21,medical (institutional),41.37,28.43,34.19,13.73,45.34
"",22,medical (non-institutional),119.48,55.06,49.22,48.32,99.62
"",23,entertainment,69.84,84.62,69.46,40.22,69.74
"",24,minor durable-type goods,11.46,37.85,16.49,11.35,11.48
"",25,toilet articles,80.55,92.66,55.23,40.42,75.65
"",26,other household consumables,73.05,58.58,44.58,36.63,61.52
"",27,consum. services excl. conveyance,169.84,193.23,132.20,98.40,164.23
"",28,conveyance,230.45,153.28,166.27,98.16,201.85
"",29,rent,382.00,188.59,255.85,107.20,128.69
"",30,taxes & cesses,26.36,19.07,13.03,7.26,25.32
"",31,durable goods,161.43,205.53,109.08,96.66,193.23
"",32,non-food: total (16-31),2140.67,1982.05,1711.49,1186.01,1818.35
"",33,total expenditure (15+32),3715.19,3925.24,3317.59,2393.71,3017.69
"",34,"cooked meals recd. free inworkpl.*",7.32,0.89,1.54,3.47,0.34
"",35,cooked meals recd. as assistance *,16.68,0.33,10.91,12.01,23.44
"",36,clothing & footwear (2nd hand) **,0.06,3.09,0.02,0.03,0.12
"",37,"@books, journals, etc. (2nd hand)",0.23,0.71,0.47,0.59,0.92
"",38,"$durables (2ndhand)",2.87,4.35,0.24,0.53,1.87
39,imputed rent,335.81,37.57,544.75,515.07,497.85,
