"(1)",(2),(9),(10),(11),(12),(13),(14),(15)
1,cereal,238.10,250.70,268.22,295.89,291.04,311.40,230.89
2,gram,4.68,5.23,5.66,5.76,6.53,6.89,4.45
3,cereal substitutes,1.85,1.47,1.79,2.03,1.88,2.47,1.37
4,pulses and pulse products,61.81,66.12,70.67,73.97,77.33,83.30,60.90
5,milk and milk products,288.75,318.60,366.51,394.47,453.85,598.21,284.13
6,sugar,32.35,33.26,36.25,37.43,39.09,45.61,31.79
7,salt,3.53,3.70,3.84,4.00,3.98,4.23,3.48
8,edible oil,86.86,91.47,95.51,103.57,102.01,115.84,83.53
9,"egg, fish & meat",160.90,180.79,192.93,223.32,239.08,289.72,156.15
10,vegetables,183.37,195.66,211.65,224.45,236.17,271.97,178.39
11,fruits (fresh),101.96,122.95,148.17,174.65,234.81,310.33,110.79
12,fruits (dry),31.97,44.88,59.75,73.05,95.13,167.91,41.97
13,spices,83.64,87.94,94.07,99.96,102.83,117.04,80.70
14,"beverages, refreshments, etc.",263.39,316.06,389.59,504.22,840.86,1574.91,349.18
15,food: total (1-14),1543.16,1718.82,1944.59,2216.76,2724.59,3899.83,1617.70
16,"pan, tobacco & intoxicants",60.91,66.49,75.29,81.93,102.30,147.87,61.94
17,fuel and light,258.39,285.84,319.98,354.36,421.24,606.73,271.75
18,clothing & bedding,200.73,221.07,264.62,323.28,413.03,607.06,220.85
19,footwear,36.45,39.51,47.70,60.81,76.90,119.72,40.50
20,education,212.30,272.17,368.55,470.37,630.05,1340.38,286.48
21,medical (institutional),42.33,46.98,61.08,73.42,124.34,243.72,51.33
22,medical (non-institutional),87.37,100.94,120.64,139.91,216.46,476.53,104.75
23,entertainment,62.97,71.09,87.66,111.44,144.44,265.01,72.29
24,minor durable-type goods,13.14,15.29,17.84,22.88,31.28,67.94,15.01
25,toilet articles,65.62,73.91,84.06,101.66,128.91,170.70,70.82
26,other household consumables,61.09,69.52,79.15,95.38,120.10,167.11,64.70
27,consum. services excl. conveyance,145.89,165.82,218.77,287.78,426.97,1020.73,198.65
28,conveyance,229.87,281.41,343.55,470.11,595.29,1040.77,269.76
29,rent,180.23,253.53,307.53,541.03,669.48,1569.54,275.34
30,taxes & cesses,27.01,30.36,38.22,50.61,55.22,128.43,31.96
31,durable goods,147.47,182.72,246.40,338.60,451.44,1145.15,204.87
32,non-food: total (16-31),1831.77,2176.65,2681.07,3523.57,4607.44,9117.38,2240.99
33,total expenditure (15+32),3374.93,3895.47,4625.67,5740.34,7332.04,13017.21,3858.70
34,cooked meals recd. free in workpl.*,3.87,9.27,11.45,11.29,74.91,23.81,9.56
35,cooked meals recd. as assistance *,11.26,15.21,6.68,6.04,3.42,2.71,12.68
36,clothing & footwear (2nd hand) **,0.33,0.22,0.17,0.19,1.57,0.15,0.43
37,"@books, journals, etc. (2nd hand)",0.59,0.90,1.00,1.21,1.02,1.57,0.80
38,"$durables (2ndhand)",2.06,2.47,5.00,2.21,1.77,11.74,2.42
39,imputed rent,628.39,708.72,910.78,1062.19,1356.56,2583.18,742.05
