"(1)",(2),(23),(24),(25),(26),(27)
1,cereal,242.82,190.40,205.50,282.31,253.25
2,gram,0.84,9.77,1.21,3.29,7.27
3,cereal substitutes,0.00,0.00,0.14,0.00,0.20
4,pulses and pulse products,52.34,57.96,35.72,47.01,70.39
5,milk and milk products,106.14,575.71,473.78,215.58,197.95
6,sugar,22.90,54.78,39.22,21.79,20.37
7,salt,3.71,3.33,3.46,3.42,3.15
8,edible oil,61.44,70.56,63.86,106.00,78.26
9,"egg, fish & meat",163.22,47.31,53.32,188.18,232.90
10,vegetables,189.28,186.78,157.32,241.97,178.53
11,fruits (fresh),84.16,103.59,102.43,59.26,148.12
12,fruits (dry),9.48,37.62,48.27,30.60,25.70
13,spices,58.07,67.14,85.24,77.93,101.77
14,"beverages, refreshments, etc.",255.52,383.50,332.71,615.18,416.69
15,food: total (1-14),1249.92,1788.46,1602.18,1892.52,1734.54
16,"pan, tobacco & intoxicants",50.91,72.81,51.90,130.64,64.25
17,fuel and light,216.15,424.99,340.67,222.95,228.14
18,clothing & bedding,181.58,282.67,231.47,310.65,178.93
19,footwear,27.30,58.61,48.82,77.44,27.08
20,education,204.84,339.65,362.99,506.41,273.73
21,medical (institutional),21.52,48.37,40.65,69.53,46.21
22,medical (non-institutional),79.96,127.76,82.28,50.84,84.47
23,entertainment,55.06,89.68,54.50,112.58,58.38
24,minor durable-type goods,15.68,16.67,6.42,34.48,14.22
25,toilet articles,59.02,74.02,67.40,71.62,85.87
26,other household consumables,45.09,75.26,62.88,49.92,76.29
27,consum. services excl. conveyance,124.95,251.72,171.60,195.25,182.31
28,conveyance,165.20,338.65,265.77,138.03,300.53
29,rent,190.63,102.05,179.59,703.27,410.91
30,taxes & cesses,6.34,24.71,26.13,15.49,21.51
31,durable goods,176.74,314.29,196.11,114.59,154.19
32,non-food: total (16-31),1620.98,2641.90,2189.19,2803.70,2207.03
33,total expenditure (15+32),2870.90,4430.37,3791.37,4696.22,3941.57
34,cooked meals recd. free in workpl.*,2.26,2.61,5.60,64.56,48.61
35,cooked meals recd. as assistance *,19.30,6.82,7.23,87.98,15.64
36,clothing & footwear (2nd hand) **,0.04,0.23,0.23,2.16,0.05
37,"@books, journals, etc. (2nd hand)",0.93,1.30,0.41,0.69,0.25
38,"$durables (2ndhand)",1.58,2.08,1.54,0.00,3.70
39,imputed rent,423.64,764.06,721.33,4.68,578.13
