"(1)",(2),(28),(29),(30),(31),(32)
1,cereal,345.83,291.41,258.52,204.55,251.97
2,gram,0.75,0.41,7.52,4.22,1.73
3,cereal substitutes,0.06,0.03,0.84,0.28,0.15
4,pulses and pulse products,71.75,52.28,68.37,61.69,49.23
5,milk and milk products,220.46,124.32,401.43,312.14,122.79
6,sugar,27.84,22.19,35.16,35.76,22.46
7,salt,4.02,6.44,3.88,3.20,4.08
8,edible oil,86.55,95.28,69.33,76.35,97.58
9,"egg, fish & meat",227.54,549.99,100.36,65.61,343.71
10,vegetables,201.95,293.07,182.27,154.77,200.19
11,fruits (fresh),105.13,90.06,106.65,72.52,94.00
12,fruits (dry),33.79,7.41,47.76,35.53,17.61
13,spices,86.87,60.69,65.89,69.14,68.31
14,"beverages, refreshments, etc.",390.30,218.57,320.79,240.71,370.14
15,food: total (1-14),1802.85,1812.13,1668.77,1336.45,1643.95
16,"pan, tobacco & intoxicants",109.08,150.02,108.10,43.66,64.83
17,fuel and light,205.55,291.79,247.86,267.04,293.49
18,clothing & bedding,336.90,241.32,244.37,186.48,216.78
19,footwear,49.66,31.55,54.98,35.27,30.43
20,education,338.56,334.46,285.90,267.57,244.93
21,medical (institutional),40.21,22.83,10.62,53.37,86.55
22,medical (non-institutional),82.45,159.89,57.19,103.62,203.64
23,entertainment,109.40,59.33,82.36,50.62,72.49
24,minor durable-type goods,24.07,30.32,16.63,9.00,11.49
25,toilet articles,93.13,60.09,63.43,54.80,66.53
26,other household consumables,81.16,47.70,58.10,50.26,53.18
27,consum. services excl. conveyance,236.42,191.27,284.20,152.87,189.35
28,conveyance,336.37,244.52,309.92,185.71,182.04
29,rent,660.75,76.44,124.51,115.38,117.30
30,taxes & cesses,33.37,14.78,29.25,15.79,8.48
31,durable goods,243.57,191.83,294.59,174.84,177.79
32,non-food: total (16-31),2980.64,2148.15,2272.02,1766.28,2019.29
33,total expenditure (15+32),4783.49,3960.28,3940.79,3102.73,3663.23
34,"cooked meals recd. free inworkpl.*",2.11,3.00,0.02,1.38,6.20
35,cooked meals recd. as assistance *,6.25,21.66,4.10,5.83,16.22
36,clothing & footwear (2nd hand) **,1.54,0.23,0.27,0.10,0.14
37,"@books, journals, etc. (2nd hand)",1.44,1.49,1.47,0.67,0.82
38,"$durables (2ndhand)",3.92,0.18,1.30,2.13,1.09
39,imputed rent,433.37,644.98,782.39,572.65,684.14
