"",(1),(2),(8),(9),(10),(11),(12)
"",1,cereal,185.56,192.06,198.05,182.38,247.46
"",2,gram,5.80,2.03,5.12,5.42,11.08
"",3,cereal substitutes,0.00,0.09,0.63,0.87,0.00
"",4,pulses and pulse products,67.11,44.97,66.78,57.53,84.99
"",5,milk and milk products,518.72,228.93,422.05,616.56,452.95
"",6,sugar,43.99,37.53,39.80,45.45,42.32
"",7,salt,4.05,3.38,2.86,3.80,3.35
"",8,edible oil,67.50,72.92,116.61,59.42,93.71
"",9,"egg, fish & meat",124.73,451.39,52.86,46.42,75.35
"",10,vegetables,195.93,160.57,209.52,181.41,233.12
"",11,fruits (fresh),105.29,273.50,117.01,136.79,142.29
"",12,fruits (dry),44.01,29.28,62.92,50.79,81.93
"",13,spices,76.29,101.03,96.51,81.91,83.66
"",14,"beverages, refreshments, etc.",505.92,398.68,382.35,439.03,489.78
"",15,food: total (1-14),1944.92,1996.36,1773.08,1907.79,2041.97
"",16,"pan, tobacco & intoxicants",63.67,32.90,55.30,64.22,83.51
"",17,fuel and light,383.18,216.06,274.42,339.43,256.01
"",18,clothing & bedding,269.21,213.08,223.82,295.97,354.21
"",19,footwear,51.61,38.59,44.41,60.24,92.21
"",20,education,396.54,103.93,232.38,438.96,363.96
"",21,medical (institutional),43.94,29.29,32.15,44.64,49.91
"",22,medical (non-institutional),119.18,80.21,61.11,94.39,121.93
"",23,entertainment,115.66,107.47,97.20,82.59,83.17
"",24,minor durable-type goods,20.37,16.94,18.66,22.25,21.06
"",25,toilet articles,72.69,74.90,69.23,79.43,93.50
"",26,other household consumables,79.05,69.63,69.18,71.18,69.93
"",27,consum. services excl. conveyance,288.97,278.20,194.44,236.28,267.07
"",28,conveyance,413.52,309.20,307.19,362.80,344.25
"",29,rent,372.37,176.38,155.52,211.91,481.80
"",30,taxes & cesses,37.58,49.38,35.72,30.86,45.77
"",31,durable goods,232.91,220.93,251.81,283.33,359.28
"",32,non-food: total (16-31),2960.47,2017.08,2122.52,2718.48,3087.58
"",33,total expenditure (15+32),4905.39,4013.44,3895.60,4626.27,5129.55
"",34,"cooked meals recd. free inworkpl.*",17.29,31.94,1.39,1.95,16.68
"",35,cooked meals recd. as assistance *,17.06,3.41,8.22,6.57,27.51
"",36,clothing & footwear (2nd hand) **,1.75,0.11,1.10,0.22,0.86
"",37,"@books, journals, etc. (2nd hand)",1.58,0.28,0.99,1.03,0.34
"",38,"$durables (2ndhand)",0.96,0.10,2.64,3.71,0.08
39,imputed rent,1177.34,1226.78,777.57,846.23,688.92,
