"(1)",(2),(18),(19),(20),(21),(22)
1,cereal,144.24,333.09,171.58,195.05,294.99
2,gram,2.56,0.89,0.13,0.25,0.88
3,cereal substitutes,6.69,0.72,1.26,0.45,2.02
4,pulses and pulse products,56.54,23.17,21.67,46.00,27.15
5,milk and milk products,129.85,34.60,41.67,63.67,84.41
6,sugar,34.34,12.84,25.14,30.97,16.78
7,salt,2.98,4.22,3.39,4.45,3.20
8,edible oil,76.85,41.83,60.67,69.59,55.23
9,"egg, fish & meat",77.40,173.80,282.20,324.23,247.98
10,vegetables,129.22,115.20,169.19,306.99,148.81
11,fruits (fresh),47.56,35.56,50.66,43.21,61.42
12,fruits (dry),36.77,6.39,1.46,3.95,6.90
13,spices,66.36,48.66,48.95,46.54,38.98
14,"beverages, refreshments, etc.",156.56,124.93,201.57,191.00,137.69
15,food: total (1-14),967.91,955.89,1079.53,1326.36,1126.43
16,"pan, tobacco & intoxicants",48.59,48.95,165.42,261.79,84.08
17,fuel and light,171.65,162.05,171.97,218.81,191.73
18,clothing & bedding,146.51,87.74,118.34,172.89,119.62
19,footwear,25.19,20.80,32.66,69.58,35.56
20,education,64.09,149.11,68.94,70.79,92.31
21,medical (institutional),34.00,15.82,5.61,10.10,11.02
22,medical (non-institutional),40.19,15.48,12.68,32.11,30.23
23,entertainment,27.03,28.83,46.39,49.64,47.55
24,minor durable-type goods,8.11,17.60,14.69,18.91,21.82
25,toilet articles,44.98,33.12,48.74,53.82,64.05
26,other household consumables,40.34,25.87,38.54,28.96,26.15
27,consum. services excl. conveyance,99.81,58.25,95.57,114.48,199.98
28,conveyance,127.06,90.43,106.89,62.45,74.74
29,rent,13.34,1.09,6.51,8.83,5.29
30,taxes & cesses,21.60,8.07,0.34,11.56,2.69
31,durable goods,90.90,57.57,41.73,102.13,94.06
32,non-food: total (16-31),1003.39,820.79,975.02,1286.85,1100.89
33,total expenditure (15+32),1971.30,1776.68,2054.56,2613.21,2227.32
34,"cooked meals recd. free inworkpl.*",2.02,1.53,0.58,2.71,0.10
35,cooked meals recd. as assistance *,31.01,4.18,25.18,16.33,0.00
36,clothing & footwear (2nd hand) **,0.45,15.01,4.88,5.04,16.78
37,"@books, journals, etc. (2nd hand)",0.60,2.03,1.33,1.25,0.20
38,"$durables (2ndhand)",1.97,2.82,0.11,4.32,0.80
39,imputed rent,122.45,67.10,37.56,142.99,73.72
