"(1)",(2),(3),(4),(5),(6),(7),(8)
1,cereal,115.30,132.99,144.88,151.92,159.12,170.03
2,gram,1.34,1.82,1.95,2.36,2.39,2.76
3,cereal substitutes,0.07,0.10,0.23,0.33,0.53,0.51
4,pulses and pulse products,32.20,36.37,39.66,42.07,45.14,46.27
5,milk and milk products,33.15,59.05,76.58,101.83,125.77,139.21
6,sugar,13.32,16.82,19.33,21.00,24.02,24.58
7,salt,2.26,2.35,2.60,2.70,2.85,2.95
8,edible oil,42.48,47.28,50.39,55.28,59.79,62.92
9,"egg, fish & meat",22.49,27.44,41.58,60.21,65.15,77.32
10,vegetables,83.12,92.18,99.73,111.01,118.71,125.71
11,fruits (fresh),7.26,10.15,14.66,21.58,26.41,32.70
12,fruits (dry),0.86,1.64,2.93,4.73,6.61,8.53
13,spices,36.15,39.30,44.62,49.45,55.21,57.59
14,"beverages, refreshments, etc.",56.72,71.31,81.25,96.69,106.53,120.81
15,food: total (1-14),446.72,538.81,620.40,721.16,798.21,871.91
16,"pan, tobacco & intoxicants",17.36,20.24,24.74,27.67,33.20,37.15
17,fuel and light,95.05,107.04,119.20,131.53,142.44,152.86
18,clothing & bedding,63.71,76.39,86.38,95.13,105.19,115.14
19,footwear,9.96,11.93,13.37,15.33,17.38,19.04
20,education,13.64,22.20,25.87,33.69,38.46,49.75
21,medical (institutional),2.29,3.07,5.47,6.11,8.19,8.89
22,medical (non-institutional),12.08,15.28,19.55,23.99,29.79,33.71
23,entertainment,4.35,6.59,8.62,12.60,16.39,19.03
24,minor durable-type goods,2.56,2.48,3.39,3.93,4.46,5.36
25,toilet articles,18.64,20.90,24.59,28.19,31.61,33.88
26,other household consumables,13.87,16.68,19.51,22.93,26.42,29.45
27,consum. services excl. conveyance,29.78,37.79,43.48,50.05,59.30,63.19
28,conveyance,14.95,20.16,25.53,37.07,48.62,59.02
29,rent,0.30,0.17,0.44,1.08,0.90,1.42
30,taxes & cesses,1.03,1.11,2.00,2.74,4.12,4.57
31,durable goods,16.27,22.02,27.11,35.44,40.67,49.13
32,non-food: total (16-31),315.82,384.06,449.27,527.47,607.13,681.58
33,total expenditure (15+32),762.54,922.87,1069.66,1248.63,1405.34,1553.50
34,cooked meals recd. free in workpl.*,0.62,0.70,1.40,1.11,0.92,1.52
35,cooked meals recd. as assistance *,20.08,22.42,23.14,25.50,24.38,27.67
36,clothing & footwear (2nd hand) **,0.23,0.21,0.38,0.39,0.31,0.54
37,"@books, journals, etc. (2nd hand)",0.21,0.18,0.31,0.39,0.39,0.44
38,"$durables (2ndhand)",0.09,0.13,0.23,0.25,0.42,0.50
39,imputed rent,7.46,12.93,18.85,29.18,39.44,45.10
